reg_id,reg_name
HOUSA000069720028,VIEW-HOME AWARD-ET
HOUSA000071851528,FROSTY-ROCK SETTLE-ET
HOUSA000066676829,KING-EMERLING FUTURE-ET
HOUSA000062295415,ROCK-GAP ALTASUPERJET
HOUSA000069096070,SYNERGY ALTASUPERFLY
HOUSA000066451344,ENSENADA JEEVES POLO-ET
HO840003006005925,TOLLENAARS TIME SOLDIER 974
HOUSA000066977318,KEVREL PLANET MARKEY-ET
HOUSA000069753080,KEVREL PLANET MAGNUT-ET
HOUSA000064989318,CABHI MANDER-ET
HOUSA000068738570,HAR-DALE-ACRES MA BRIGGS-ET
HOUSA000139805376,FUSTEAD JETSTREAM SOTO-ET
HOUSA000066762643,BERRYRIDGE JEEVES JIVES-ET
HOUSA000135654295,GAIGE STORMATIC TART-ET
HOUSA000134350705,EK-OSEEANA ANTICIPATION
HOUSA000061898076,REGANCREST TITAN DELIVER-ET
HOUSA000140803873,MEDEIROS CHAMP PRETTY-ET
HOUSA000060997667,HAPPKE BEST MACKY-ET
HOUSA000062768973,S&E SHOTTLE PIRATE CRI-ET
HOCAN000009501480,STANTONS STATUS-ET
HOUSA000062030774,COLDSPRINGS GARNETT CRI-ET
HOUSA000060881389,MAJESTIC-MANOR JETBLUE-ET
HOUSA000060881431,MAJESTIC-MANOR O BEDROCK-ET
HOUSA000060881433,MAJESTIC-MANOR OM BEACON-ET
HOUSA000061089338,R-PINELAWN STORM OWL CRI-ET
HOUSA000137842393,AMMON FARMS ELGANT TEXAN-ET
HOUSA000133810763,R-PINELAWN FALCON-ET
HOUSA000061321588,MR CHAMPION JACKSON
HOUSA000062817005,TOLLENAARS ALTAQUALITY
HOUSA000138102117,AMMON FARMS ALTALARGO
HOUSA000134469625,R-PINELAWN EAGLE-ET
HOUSA000061757519,WELCOME RADON-ET
HOUSA000135676929,LIDDLEHOLME PONCHO-RED-ET
HOUSA000135998623,MEYERVILLA TSUNAMI-RED-ET
HOUSA000134413491,BURKET-FALLS POLL ANSWER-ET
HOUSA000135799439,SANDY-VALLEY SHANNON-ET
HOUSA000140803855,MEDEIROS BUCKEYE FRANCE-ET
HOUSA000134500463,RICECREST MADDOX-ET
HOUSA000134743341,O-BEE BRIDGE-ET
HOUSA000061133858,GOLDEN-OAKS VINCENTE-RED-ET
HOUSA000052357086,RALMA CHAMPION FRESCO-ET
HOUSA000052357082,RALMA FARLEY-ET
HOUSA000063583396,RUANN NUGGET-64813-ET
HOUSA000134768180,SANDY-VALLEY BENWOOD-ET
HOUSA000062188536,SANDY-VALLEY TUNDERBOLT-ET
HOCAN000007832131,STANTONS BUCK-ET
HOUSA000135158128,IMPERIAL-RIDGE SM DANIAL-ET
HOUSA000135989346,SANDY-VALLEY HERLER-ET
HOUSA000135773363,OCEAN-VIEW BEST ZENAS-ET
HOUSA000052461847,ORBE-VIEW S STORM HEDLEY-ET
HONLD000418232477,A L H DUKE-ET
HOUSA000138124542,NORMANNA BUCKEYE SUBLIME
HOUSA000138466017,RIDGEDALE MAJORLEAGE-ET
HO840003000963499,JENESIS-B TOYSTORY KYLE-ET
HOUSA000062209000,MD-MAPLE-DELL BOLT SERGE-ET
HOUSA000063685754,PINE-TREE BOLIVER WAYNE
HOUSA000137964491,BALMORAL ALTAACCOUNT-ET
HO840003001700073,JENESIS-B BOLTON KIRK-ET
HOUSA000061579926,PINE-LEDGE O-BOY-ET
HOUSA000136116233,POLLACK-VU LACROSSE-TW
HOUSA000137008858,CA-LILL DASHING-ET
HOUSA000138080989,NORMANNA SUNSET-ET
HOUSA000063123660,MR DURCHAN DESTIN-ET
HOUSA000063560530,AIR-OSA PS QUALIFY-ET
HOUSA000062226803,KAM-JA BOLTON 5298
HOUSA000065721181,MR LEANN ADV LEO
HOUSA000135999398,EMERALD-ACR-SA T-BRIGADE-ET
HOUSA000052760801,ORBE-VIEW S STRM HVEZDA-ET
HOUSA000137009185,CA-LILL POTTER DODGE-ET
HOUSA000052357928,RALMA O-MAN CF CRICKET-ET
HOUSA000138124515,NORMANNA ELEGANT SUBPOP-ET
HOUSA000061720218,KHW ELM-PARK ACME-ET
HOUSA000061829625,THREE-KNOLL BULLSEYE-ET
HOUSA000135755633,PLUSHANSKI FANTAST-ET
HOUSA000062922641,ECHO-MOON AIRRAID DREAM
HOUSA000061376366,WELCOME OMAN PALMER CRI-ET
HOUSA000135548958,SANDY-VALLEY BOSS-ET
HOUSA000134982355,SANDY-VALLEY DAY DREAMER-ET
HOUSA000062273516,UECKER MARION JODY
HOUSA000055603703,OLMAR PLANET BONO-ET
HOUSA000063285306,BERKSONS TOY MONTANA CRI-ET
HOUSA000135981544,JEFFREY-WAY TRUMPER-ET
HOUSA000135939408,WINDSOR-MANOR MAXIMO
HOUSA000135721991,WINDSOR-MANOR MERIT-ET
HOUSA000062663966,SIEMERS MASCOL DAVE 9682-ET
HOUSA000071618872,SEAGULL-BAY DELIRIUM-ET
HOUSA000063685770,PINE-TREE ALTAKRISPY
HOUSA000066908530,BERGEN ALTAIBULL
HOUSA000062496697,REGANCREST SHOTTLE IRWIN-ET
HOUSA000070802370,PENN-ENGLAND SCOOTCH-ET
HOUSA000072127197,PENN-ENGLAND STANTON-ET
HOUSA000062785122,WOODVALE ELERO-ET
HOUSA000062785124,WOODVALE ELDWIN-ET
HOUSA000062785120,WOODVALE EARNEST-ET
HOUSA000061898307,REGANCREST OMAN INFINITE-ET
HOUSA000061204820,SPRUCE-EDEN CANAAN
