reg_id,inbreeding
HOCAN000009035459,4.54
HOCAN000009095206,6.49
HOCAN000009236615,5.71
HOCAN000010704561,7.43
HOCAN000007078755,6.74
HOCAN000009433489,9.66
HOCAN000009433455,9.66
HOCAN000007174422,2.78
HOCAN000008650063,4.87
HOCAN000008675706,4.95
HOCAN000009236534,5.48
HOCAN000100341717,4.7
HOCAN000009388142,4.65
HOCAN000007351057,7.46
HOCAN000009452767,5.87
HOCAN000007359053,5.99
HOCAN000007359070,6.56
HOCAN000007359103,6.18
HOCAN000100457533,7.99
HOCAN000102437937,6.58
HOCAN000007359017,6.56
HOCAN000009255138,5.19
HOCAN000009255216,6.88
HOCAN000007359429,7.07
HOCAN000007430961,7.53
HOCAN000007533639,7.19
HOCAN000007533640,7.19
HOCAN000100480935,9.97
HOCAN000009361151,4.89
HOCAN000009255029,5.78
HOCAN000007359212,6.14
HOCAN000007359296,8.2
HOCAN000007359309,8.2
HOCAN000007359394,5.53
HOCAN000007359410,5.53
HOCAN000008556186,7.31
HOCAN000007318486,6.41
HOCAN000010508790,5.94
HOCAN000007207962,13.31
HOCAN000009240768,6.41
HOCAN000007533613,6.01
HOCAN000006792644,3.52
HOCAN000006909177,12.7
HOCAN000007318319,5.73
HOCAN000008611022,5.35
HOCAN000100498248,5.35
HOCAN000008556199,4.91
HOCAN000007359241,5.23
HOCAN000007359364,6.88
HOCAN000007430984,6.65
HOCAN000007484416,5.65
HOCAN000007779356,9.85
HOCAN000008556202,4.81
HOCAN000009501446,4.72
HOCAN000009501539,8.72
HOCAN000009501590,5.86
HOCAN000007832142,5.82
HOCAN000007832160,9.14
HOCAN000100341773,4.85
HOCAN000101760461,5.67
HOCAN000009357534,5.43
HOCAN000101010960,6.43
HOCAN000008875293,5.42
HOCAN000102915751,8.18
HOCAN000007816649,4.77
HOCAN000007359218,6.95
HOCAN000007359243,4.15
HOCAN000102327697,5.96
HOCAN000007383012,6.97
HOCAN000007533518,5.55
HOCAN000007533555,7.92
HOCAN000007359172,6.83
HOCAN000007359179,6.83
HOCAN000007359197,5.82
HOCAN000007359310,6.09
HOCAN000007359389,6.15
HOCAN000007533482,6.15
HOCAN000007533480,6.15
HOCAN000007533510,8.87
HOCAN000007533520,7.19
HOCAN000007533521,7.19
HOCAN000007533516,7.19
HOCAN000007533523,3.56
HOCAN000007533534,6.03
HOCAN000007533538,7.84
HOCAN000007533542,6.65
HOCAN000007533567,9.3
HOCAN000007533569,4.96
HOCAN000007533579,7.73
HOCAN000007533580,6.03
HOCAN000007533600,6.43
HOCAN000007533642,5.7
HOCAN000007533663,6.65
HOCAN000007533670,6.18
HOCAN000007533673,4.64
HOCAN000007533636,5.88
HOCAN000007890265,6.18
HOCAN000007890271,6.95
HOCAN000007890277,7.47
HOCAN000007533677,6.07
HOCAN000007533675,8.86
HOCAN000007533676,6.07
HOCAN000101467358,6.48
HOCAN000100385055,8.12
HOCAN000007359166,6.29
HOCAN000007359332,12.32
HOCAN000007533486,4.42
HOCAN000007890274,7.47
HOCAN000007533509,8.68
HOCAN000007359242,7.84
HOCAN000007533511,5.71
HOCAN000007533498,5.71
HOCAN000007533494,5.71
HOCAN000007533527,5.81
HOCAN000007533539,5.16
HOCAN000101098586,6.59
HOCAN000007533530,5.81
HOCAN000008669669,3.84
HOCAN000007359343,7.88
HOCAN000009372017,5.5
HOCAN000007533549,5.26
HOCAN000010743430,5.44
HOCAN000008758158,6.15
HOUSA000137039935,4.81
HOUSA000137834240,4.27
HOCAN000009358202,5.49
HOUSA000136548933,4.81
HOCAN000008312495,6
HOCAN000008312486,5.09
HOCAN000008209534,3.51
HOCAN000007097700,4.78
HOCAN000009200888,3.83
HOCAN000007307041,6.93
HOCAN000007383011,9.36
HOCAN000009294442,6.43
HOCAN000007330248,8.34
HOCAN000007329385,4.07
HOCAN000009313568,3.85
HOCAN000007329260,5.24
HOCAN000009255267,4.93
HOCAN000009388151,8.34
HOHUN003250511195,5.29
HOCAN000009217541,6.37
HOCAN000009390835,3.52
HOCAN000101146849,3.79
HOCAN000009255058,4.62
HOCAN000009388043,4.6
HOCAN000009388045,4.6
HOCAN000009388051,7.94
HOCAN000009388057,4.26
HOCAN000007220845,3.48
HOCAN000009117631,3.75
HOCAN000009388156,5.68
HOCAN000009186647,5.68
HOCAN000009388163,5.68
HOCAN000009388167,9.78
HOCAN000009388168,9.78
HOCAN000009388242,5.81
HOCAN000009351126,7.53
HOCAN000007053282,6.47
HOCAN000008346981,9.78
HOCAN000007318416,4.67
HOCAN000101731079,7.68
HOCAN000009407335,2.58
HOCAN000010769423,4.26
HOCAN000009372047,5.11
HOCAN000007350048,9.75
HOCAN000009312099,11.72
HOCAN000007176012,7.11
HOCAN000009372079,4.45
HOCAN000008547099,7.93
HOCAN000007353789,4.68
HOCAN000100290450,7
HOCAN000100748971,12.08
HOCAN000101431941,8.75
HOCAN000101760447,8.55
HOHUN003250509020,7.12
HODEU000113186559,6.87
HOCAN000007264030,5.39
HOCAN000100385020,4.52
HOCAN000007677408,6.66
HOITA019500315866,7.82
HOCAN000007587981,10.2
HOUSA000060537947,9.5
HOUSA000135503517,5.42
HOCAN000007355182,5.12
HOCAN000102484352,5.33
HOCAN000007357183,7.05
HOCAN000007681144,3.77
HOCAN000007677409,4.33
HOCAN000007359311,7.27
HOCAN000007533558,6
HOCAN000007533561,6
HOCAN000103473203,4.13
HOCAN000007890290,9.03
HOCAN000102725253,7.1
HOCAN000101530893,8.56
HOCAN000103830762,3.7
HOCAN000102545337,5.41
HOCAN000007533550,6.98
HOCAN000007533623,5.98
HOCAN000103501868,4.96
HOCAN000102915706,6.26
HOCAN000007484361,14.2
HOCAN000007533475,6.22
HOCAN000007533508,5.76
HOCAN000007816482,5.53
HOCAN000101760606,6.69
HOCAN000103186877,8.26
HOCAN000007890285,8.05
HOCAN000007359261,7.46
HOCAN000007832140,6.85
HOCAN000007611374,5.5
HOCAN000007890284,7.81
HOCAN000009388217,5.51
HOCAN000007359260,7.68
HOCAN000007359264,7.68
HOCAN000007359337,6.45
HOCAN000007359433,6.65
HOCAN000007430974,6.65
HOCAN000007430975,6.65
HOCAN000008744360,8.79
JECAN000103829202,7.3
